,posted_on,bhk,size,floor,area_type,area_locality,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,rent,floor_number,3_or_less_bhk,size_type,normalize_rent,Standardization_size
0,2022-05-10,2,1100.0,,super area,bandel,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,10000,-1.0,1,medium,0.15492957746478875,0.6096399128808628
1,2022-05-13,2,800.0,1 out of 3,super area,"phool bagan, kankurgachi",kolkata,Semi-Furnished,bachelors/family,2.0,Contact Agent,20000,1.0,1,medium,0.33098591549295775,-0.09081768024044207
2,2022-05-16,2,1000.0,1 out of 3,super area,salt lake city sector 2,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,17000,1.0,1,medium,0.278169014084507,0.37615404850709455
3,2022-07-04,2,800.0,1 out of 2,super area,unknown place,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,10000,1.0,1,medium,0.15492957746478875,-0.09081768024044207
4,2022-05-09,2,850.0,1 out of 2,carpet area,south dum dum,kolkata,Unfurnished,bachelors,1.0,Contact Owner,7500,1.0,1,medium,0.1109154929577465,0.025925251946442084
5,2022-04-29,2,600.0,Ground out of 1,super area,thakurpukur,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,7000,0.0,1,medium,0.10211267605633803,-0.5577894089879787
6,2022-06-21,2,700.0,Ground out of 4,super area,unknown place,kolkata,Unfurnished,bachelors,2.0,Contact Agent,10000,0.0,1,medium,0.15492957746478875,-0.32430354461421035
7,2022-06-21,1,250.0,1 out of 2,super area,malancha,kolkata,Unfurnished,bachelors,1.0,Contact Agent,5000,1.0,1,small,0.06690140845070423,-1.3749899342961678
9,2022-05-30,3,1000.0,1 out of 3,carpet area,natunhat,kolkata,Semi-Furnished,family,2.0,Contact Owner,10000,1.0,0,medium,0.15492957746478875,0.37615404850709455
10,2022-05-23,3,1200.0,1 out of 4,carpet area,"action area 1, rajarhat newtown",kolkata,Semi-Furnished,bachelors/family,2.0,Contact Agent,25000,1.0,0,large,0.41901408450704225,0.8431257772546311
11,2022-05-12,1,400.0,1 out of 1,carpet area,keshtopur,kolkata,Unfurnished,bachelors/family,1.0,Contact Agent,5000,1.0,1,small,0.06690140845070423,-1.0247611377355152
12,2022-04-29,1,250.0,1 out of 4,carpet area,"tarulia, keshtopur",kolkata,Furnished,bachelors,1.0,Contact Owner,6500,1.0,1,small,0.09330985915492958,-1.3749899342961678
13,2022-05-09,1,375.0,1 out of 2,carpet area,dum dum metro,kolkata,Unfurnished,family,1.0,Contact Agent,5500,1.0,1,small,0.07570422535211269,-1.0831326038289573
14,2022-05-05,3,900.0,Ground out of 2,carpet area,paschim barisha,kolkata,Unfurnished,bachelors,2.0,Contact Owner,8500,0.0,0,medium,0.12852112676056338,0.14266818413332624
15,2022-06-04,3,1286.0,1 out of 1,carpet area,new town action area 1,kolkata,Furnished,bachelors/family,2.0,Contact Owner,40000,1.0,0,large,0.6830985915492959,1.0439236206160718
16,2022-05-17,2,600.0,,super area,barasat,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,6000,-1.0,1,medium,0.08450704225352114,-0.5577894089879787
17,2022-06-20,2,800.0,,super area,behala,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,10000,-1.0,1,medium,0.15492957746478875,-0.09081768024044207
18,2022-06-09,2,2000.0,Ground out of 3,carpet area,unknown place,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,11000,0.0,1,large,0.17253521126760565,2.7110126922447773
20,2022-05-06,2,650.0,1 out of 2,carpet area,santoshpur,kolkata,Unfurnished,family,1.0,Contact Owner,7900,1.0,1,medium,0.11795774647887325,-0.44104647680109454
21,2022-06-14,2,400.0,2 out of 3,carpet area,"garia station, garia",kolkata,Unfurnished,bachelors,2.0,Contact Owner,9000,2.0,1,small,0.13732394366197184,-1.0247611377355152
22,2022-07-09,1,300.0,Ground out of 4,super area,"garia station, garia",kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,4000,0.0,1,small,0.04929577464788733,-1.2582470021092835
23,2022-06-23,3,1600.0,Ground out of 2,carpet area,joka,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,6500,0.0,0,large,0.09330985915492958,1.7770692347497044
24,2022-05-28,1,400.0,,super area,sreebhumi,kolkata,Semi-Furnished,bachelors,1.0,Contact Agent,8000,-1.0,1,small,0.11971830985915494,-1.0247611377355152
26,2022-07-04,1,355.0,1 out of 1,carpet area,dum dum,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Agent,5300,1.0,1,small,0.0721830985915493,-1.129829776703711
27,2022-06-25,2,1000.0,,super area,"kodalia, hooghly-chinsurah",kolkata,Semi-Furnished,family,1.0,Contact Owner,6000,-1.0,1,medium,0.08450704225352114,0.37615404850709455
29,2022-07-10,2,850.0,Ground out of 2,super area,"rabindra sarobar area, dhakuria",hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,12500,0.0,1,medium,0.198943661971831,0.025925251946442084
30,2022-05-21,1,350.0,,carpet area,baghajatin,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,7500,-1.0,1,small,0.1109154929577465,-1.1415040699223995
31,2022-06-26,2,900.0,Ground out of 2,carpet area,"project kaikhali, vip road",kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,0.14266818413332624
32,2022-06-16,2,550.0,,super area,vip road,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,6000,-1.0,1,medium,0.08450704225352114,-0.6745323411748628
33,2022-06-29,2,500.0,Ground out of 2,carpet area,baruipur,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,5000,0.0,1,small,0.06690140845070423,-0.791275273361747
34,2022-05-10,3,1100.0,2 out of 3,carpet area,dumdum park,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,22000,2.0,0,medium,0.3661971830985916,0.6096399128808628
35,2022-05-12,2,850.0,1 out of 2,carpet area,sreebhumi,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,0.025925251946442084
36,2022-07-07,2,800.0,2 out of 2,carpet area,shyam bazar,kolkata,Unfurnished,bachelors,1.0,Contact Agent,12500,2.0,1,medium,0.198943661971831,-0.09081768024044207
37,2022-05-31,2,630.0,Ground out of 3,carpet area,birati,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,7000,0.0,1,medium,0.10211267605633803,-0.4877436496758482
39,2022-06-24,1,270.0,1 out of 2,carpet area,jadavpur university,kolkata,Semi-Furnished,bachelors/family,3.0,Contact Owner,10000,1.0,1,small,0.15492957746478875,-1.3282927614214142
40,2022-06-29,2,630.0,Ground out of 1,carpet area,birati,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,7200,0.0,1,medium,0.1056338028169014,-0.4877436496758482
41,2022-05-12,3,1500.0,Ground out of 2,carpet area,bhadrakali,kolkata,Furnished,bachelors,2.0,Contact Owner,12000,0.0,0,large,0.19014084507042256,1.543583370375936
42,2022-06-26,1,600.0,2 out of 5,super area,behala,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,5000,2.0,1,medium,0.06690140845070423,-0.5577894089879787
43,2022-05-27,2,700.0,,carpet area,baruipur,kolkata,Semi-Furnished,bachelors/family,1.0,Contact Owner,8500,-1.0,1,medium,0.12852112676056338,-0.32430354461421035
44,2022-06-08,1,300.0,Ground out of 3,carpet area,ballygunge,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,6000,0.0,1,small,0.08450704225352114,-1.2582470021092835
47,2022-07-02,2,650.0,Ground out of 1,carpet area,"baishnabghata patuli township, patuli",kolkata,Unfurnished,family,2.0,Contact Owner,12000,0.0,1,medium,0.19014084507042256,-0.44104647680109454
48,2022-06-26,3,2000.0,Ground out of 2,super area,behala,kolkata,Semi-Furnished,family,2.0,Contact Owner,30000,0.0,0,large,0.5070422535211269,2.7110126922447773
49,2022-05-12,3,1068.0,Ground out of 3,super area,bansdroni,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,0.0,0,medium,0.24295774647887328,0.534924436281257
50,2022-06-22,1,150.0,1 out of 1,super area,salt lake city,kolkata,Furnished,bachelors/family,1.0,Contact Owner,7500,1.0,1,small,0.1109154929577465,-1.608475798669936
51,2022-06-25,1,450.0,2 out of 2,carpet area,new town,kolkata,Unfurnished,family,1.0,Contact Owner,7500,2.0,1,small,0.1109154929577465,-0.9080182055486311
52,2022-07-03,2,800.0,Ground out of 1,carpet area,baruipur,kolkata,Unfurnished,bachelors/family,1.0,Contact Owner,5000,0.0,1,medium,0.06690140845070423,-0.09081768024044207
53,2022-04-23,2,1000.0,Ground out of 2,super area,bansdroni,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,0.37615404850709455
54,2022-05-14,1,900.0,5 out of 5,super area,pancha sayar,kolkata,Semi-Furnished,bachelors,1.0,Contact Owner,11000,5.0,1,medium,0.17253521126760565,0.14266818413332624
